AAPL,AMZN,FB,GOOGL
101.78376337717,636.99,102.22,759.44
99.233130863492,633.79,102.73,761.53
97.291172017853,632.65,102.97,759.33
93.185040130307,607.94,97.92,741.0
93.677775956812,607.05,97.33,730.91
95.194629383506,617.74,97.51,733.07
96.57622199508,617.89,99.37,745.34
94.093219888964,581.81,95.44,719.57
96.151116576134,593.0,98.37,731.39
93.842021232314,570.18,94.97,710.49
93.387931352986,574.48,95.26,719.08
93.513530681311,571.77,94.35,718.56
93.040117828394,575.02,94.16,726.67
97.986799067037,596.38,97.94,745.46
96.07382468178,596.53,97.01,733.62
96.605206455463,601.25,97.34,733.79
90.257609631657,583.35,94.45,717.58
90.90492924687,635.35,109.11,748.3
94.044912454993,587.0,112.21,761.35
93.165717156719,574.81,115.09,770.77
91.281727231844,552.1,114.61,780.91
93.088425262365,531.07,112.69,749.38
93.83235974552,536.26,110.49,730.03
91.32627808772,502.13,104.07,703.76
92.28791407269,488.1,99.75,704.16
92.268487083095,482.07,99.54,701.02
91.569115457662,490.48,101.0,706.85
91.015446254195,503.82,101.91,706.36
91.297137603327,507.08,102.01,706.89
93.871213724711,521.1,101.61,717.64
95.308810954766,534.1,105.2,731.97
93.502100922399,525.0,103.47,717.51
93.28840403685,534.9,104.57,722.11
94.104337599855,559.5,107.16,729.05
91.977082239165,552.94,105.46,717.29
93.346685005636,554.04,106.88,720.9
93.987775662283,555.15,108.07,729.12
94.133478084248,555.23,107.92,724.86
93.919781198699,552.52,106.92,717.22
97.649763201006,579.04,109.82,742.17
97.863460086554,580.21,109.95,739.48
98.59197219638,577.49,109.58,731.59
100.05870991083,575.14,108.39,730.22
98.951371503894,562.8,105.73,712.8
98.135437940889,560.26,105.93,713.53
98.222859394068,559.47,107.51,725.41
98.271426868057,558.93,107.32,732.17
99.330197801003,569.61,109.41,744.87
99.582748665742,573.37,109.89,750.24
101.58372859406,577.02,110.67,750.57
102.93390437094,574.27,112.18,757.36
102.76877495938,559.44,111.02,758.48
102.88533689695,552.08,111.45,755.41
102.87562340215,553.98,111.85,762.16
103.66241648077,560.48,112.25,760.05
103.0893202877,569.63,112.54,757.56
102.64249952701,582.95,113.05,754.84
102.17625177672,579.87,113.69,753.28
104.59491198134,593.86,116.14,765.89
106.4210490033,598.69,114.7,768.34
105.86737979984,593.64,114.1,762.9
106.8387292796,598.5,116.06,769.67
107.93635419174,593.19,112.55,765.12
106.66388637325,586.14,112.22,758.57
107.78093827498,602.08,113.71,768.07
105.43027253394,591.43,113.64,760.12
105.54683447151,594.6,110.63,759.47
105.89652028423,595.93,108.99,757.54
107.2758365455,603.17,110.61,764.32
108.82999571313,614.82,110.51,771.91
108.88827668191,620.75,110.84,775.39
106.70274035244,625.89,109.64,780.0
104.40064208539,635.35,110.45,787.68
103.84697288192,627.9,112.29,776.25
104.06066976747,632.99,112.42,774.92
102.93390437094,631.0,113.44,780.0
102.65221302181,620.5,110.56,737.77
102.06940333395,626.2,110.1,742.21
101.36031821372,616.88,108.76,725.37
95.017406110836,606.57,108.89,721.46
92.113071166332,602.0,116.73,705.06
91.054300233386,659.59,117.58,707.88
90.957165285409,683.85,118.57,714.41
92.453043484251,671.32,117.43,708.44
91.491407499281,670.9,118.06,711.37
91.122294696969,659.09,117.81,714.71
90.614105151255,673.95,119.49,725.18
90.682515282409,679.75,119.24,729.13
91.298206462794,703.07,120.5,739.38
90.408874757793,713.23,119.52,730.55
88.288160692023,717.93,120.28,728.07
88.464072457847,709.92,119.81,724.83
91.747758753233,710.66,118.67,730.3
91.366616593947,695.27,117.35,720.19
92.412314313014,697.45,117.65,721.78
92.060490781365,698.52,116.81,715.31
93.057324121036,702.8,117.35,721.71
94.23984210241,696.75,115.97,717.25
95.676454856642,704.2,117.7,733.03
97.357389507852,708.35,117.89,738.1
98.129446702303,714.91,119.47,736.93
98.070809447028,712.24,119.38,747.6
97.591938528951,722.79,118.81,748.85
96.223735905873,719.44,118.78,748.46
95.500543090818,728.24,118.93,744.27
95.6960006084,725.54,118.47,735.86
96.389874795818,726.73,118.79,730.06
96.780789830983,723.74,117.76,731.09
96.692833948071,726.64,118.39,742.93
97.386708135489,727.65,118.56,742.52
96.585332313401,717.91,116.62,733.19
95.129173807411,715.24,113.95,731.88
95.24644831796,719.3,114.94,733.25
94.933716289828,714.26,114.6,732.19
95.334404200873,717.51,114.39,724.25
93.164825755707,706.39,113.02,704.25
92.940049610487,714.01,113.37,706.13
93.731652556696,715.82,114.38,708.88
93.379829025047,710.6,113.91,710.47
93.917337198399,722.08,115.08,714.87
91.278660711035,698.96,112.08,685.2
89.949549591474,691.36,108.97,681.14
91.464345352739,707.95,112.7,691.26
92.255948298948,715.6,114.16,695.19
93.428693404443,715.62,114.28,703.53
93.712106804938,725.68,114.19,710.25
92.832547975816,728.1,114.0,704.89
93.360283273289,737.61,116.7,708.97
93.760971184333,736.57,115.85,707.26
94.484163999389,745.81,117.24,717.78
94.777350275762,753.78,117.87,727.2
95.207356814444,748.21,117.93,732.51
94.669848641092,742.63,116.78,729.48
96.546240809884,741.2,117.29,735.8
96.536467934005,735.44,116.86,735.63
97.562619901313,736.07,119.37,753.2
97.60171140483,739.95,120.61,753.41
97.689667287742,745.72,121.92,757.08
97.171704866148,744.43,120.61,754.41
96.419193423456,744.86,121.0,759.28
95.129173807411,739.61,121.63,757.52
94.47439112351,735.59,121.22,757.65
100.6117571756,736.67,123.34,761.97
101.9701869228,752.61,125.0,765.84
101.84313953637,758.81,123.94,791.34
103.64134869813,767.74,124.31,800.94
102.10700718511,760.58,123.09,800.12
103.38725392527,754.64,122.51,798.92
104.02249085742,760.77,124.36,797.25
105.60439517668,765.98,125.15,806.93
106.47886402397,766.56,125.26,805.23
106.91118570129,768.31,125.06,807.48
106.11532079532,768.56,124.88,808.49
106.04654234666,771.24,124.9,808.2
106.29217966332,772.56,124.88,807.05
107.56949370993,768.49,123.9,805.96
107.47123878326,764.04,123.3,801.19
107.3140309006,764.63,124.37,805.42
107.17647400328,764.46,123.91,802.75
107.45158779793,757.31,123.56,799.65
106.6164209213,759.48,124.15,796.95
106.95048767195,762.45,124.37,796.59
106.14479727332,757.25,123.48,793.6
105.69282461068,759.22,123.89,791.3
105.0738185727,769.0,124.96,793.22
104.95591266071,771.29,126.54,795.82
104.15022226208,767.58,125.84,791.92
104.24847718874,769.16,126.12,789.85
104.86748322671,770.62,126.17,791.4
105.85003249333,772.44,126.51,796.87
105.82055601534,788.87,129.73,808.02
106.46903853131,784.48,131.05,807.99
103.6785986141,784.06,130.27,802.84
101.33030586687,760.14,127.1,788.48
103.59999467277,771.49,128.69,798.82
106.06619333199,761.01,127.21,788.72
109.81953153049,761.09,127.77,790.46
113.55321874366,769.69,128.35,801.23
112.91456172036,778.52,129.07,797.97
111.59794570308,775.1,128.65,795.39
111.58812021042,780.22,128.64,799.78
111.56846922508,789.74,129.94,805.03
112.61979694037,804.7,130.08,815.95
110.74312784112,805.75,127.96,814.96
110.91016121645,799.16,127.31,802.65
111.11649656244,816.11,128.69,810.73
111.96148893173,828.72,129.23,810.06
110.22237672981,829.05,128.09,802.64
111.07719459177,837.31,128.27,804.06
110.55644348046,836.74,128.77,800.38
111.02806712844,834.03,128.19,802.79
111.07719459177,844.36,128.47,801.23
111.90253597573,841.66,128.74,803.08
112.06956935106,839.43,128.99,800.71
114.02484239164,841.71,130.24,814.17
114.2704797083,831.0,128.88,809.57
115.29233094559,834.09,129.05,811.77
114.9386132096,829.28,127.82,804.08
115.57727023291,822.96,127.88,804.6
115.49866629158,812.95,127.54,806.84
115.42006235025,817.65,128.57,821.49
115.07617010693,817.69,130.11,827.09
115.01721715093,810.32,130.0,821.63
114.56524448828,818.99,132.07,824.06
115.59692121824,838.09,133.28,835.74
116.18645077821,835.18,132.29,828.55
113.57286972899,822.59,131.04,822.1
112.48224004304,818.36,129.69,817.35
111.73550260041,776.32,131.29,819.56
111.55864373242,789.82,130.99,809.9
109.54441773584,785.41,129.5,805.48
109.6426726625,765.56,127.17,788.42
108.47343903522,767.03,120.0,782.19
107.49566698164,755.05,120.75,781.1
109.04627518782,784.93,122.15,802.03
109.68824673815,787.75,124.22,811.98
109.51047000114,771.88,123.18,805.59
106.45863601572,742.38,120.8,780.29
107.09073108066,739.01,119.02,771.75
104.40432705466,719.07,115.08,753.22
105.78703500922,743.24,117.2,775.16
108.63146280145,746.49,116.34,779.98
108.5919568599,756.4,117.79,786.16
108.70059819918,760.16,117.02,775.97
110.34997125926,780.0,121.77,784.8
110.41910665699,785.33,121.47,785.0
109.85614698978,780.12,120.84,779.0
110.4092301716,780.37,120.38,780.23
110.19194749303,766.77,120.41,785.79
110.08330615374,762.52,120.87,789.44
109.15491652711,750.57,118.42,775.88
108.13763853197,743.65,115.1,764.33
108.54257443295,740.34,115.4,764.46
107.76233208716,759.36,117.43,778.22
108.5919568599,764.72,117.31,776.18
109.65861728198,770.42,117.95,791.47
110.73515418946,767.33,118.91,795.17
112.54255101578,768.66,119.68,809.45
111.90057946545,760.12,117.77,807.9
113.76723520411,774.34,120.31,815.34
113.76723520411,768.82,120.21,817.89
114.38945378366,761.0,120.57,815.65
114.5376010645,757.77,119.87,809.84
115.19932558561,766.0,119.24,812.5
115.50549663269,771.22,119.09,815.2
115.61413797198,770.6,119.04,812.2
114.85364859697,766.34,117.4,809.68
115.08080776094,760.59,117.27,807.8
115.81166767978,771.4,118.01,809.93
115.31784341029,772.13,116.92,804.57
115.28821395412,765.15,116.35,802.88
114.38945378366,749.87,115.05,792.45
114.71537780152,753.67,116.86,808.01
114.58698349145,757.18,118.69,807.77
115.16969612944,780.45,120.67,813.02
116.45363923011,795.99,123.41,825.21
117.5202996522,796.92,124.9,827.18
117.63881747687,795.9,124.35,826.01
118.27091254181,799.02,126.09,829.86
117.77708827233,813.64,126.62,829.53
117.56968207915,817.14,128.34,830.94
118.51782467656,809.72,127.87,827.46
118.50794819117,807.48,127.92,829.02
118.30054199798,809.04,127.55,824.37
118.51782467656,808.33,127.04,828.17
118.59683655968,817.88,128.93,844.43
118.48819522039,822.44,129.37,849.53
120.37460392982,836.52,131.48,858.45
120.43386284216,839.15,132.78,856.98
120.44373932755,835.77,132.18,845.03
120.12769179508,830.38,130.98,823.83
119.85115020417,823.48,130.32,820.19
127.15974939256,832.35,133.23,815.24
126.94246671398,839.95,130.84,818.26
127.48567341042,810.2,130.98,820.13
128.68072814257,807.64,132.06,821.62
129.9054123309,812.5,131.84,829.23
130.40911308577,819.71,134.2,829.88
131.34737919779,821.36,134.14,830.06
131.04980924039,827.46,134.19,834.85
132.21033207426,836.53,134.05,838.96
133.92631882862,836.39,133.85,840.03
134.41234975905,842.7,133.44,837.32
134.24868628248,844.14,133.84,842.17
134.62064872923,845.07,133.53,846.55
135.59271059008,856.44,133.72,849.27
135.99938953187,855.61,136.12,851.36
135.42408761422,852.19,135.36,851.0
135.55303459576,845.24,135.44,847.81
135.82084755742,848.64,136.41,849.67
135.8803615489,845.04,135.54,844.93
138.65768115133,853.08,137.42,856.75
137.83440426919,848.91,136.76,849.85
138.64776215275,849.88,137.17,849.08
138.21132621523,846.61,137.42,847.27
138.38986818967,846.02,137.3,851.15
137.87408026351,850.5,137.72,853.64
137.55667230894,853.0,138.24,857.84
138.01294624363,852.46,138.79,861.405
138.07246023511,854.59,139.6,864.58
137.86416126493,852.53,139.32,865.91
139.3222540562,852.97,139.72,868.39
139.55039102354,853.42,139.99,870.0
138.85606112294,852.31,139.84,872.37
140.31415391421,856.97,139.94,867.91
138.70727614424,843.2,138.51,850.14
140.27447791989,848.06,139.59,849.8
139.77852799089,847.38,139.53,839.65
139.50079603064,845.61,140.34,835.14
139.73885199657,846.82,140.32,838.51
142.63519958196,856.0,141.76,840.63
142.95260753652,874.32,142.65,849.87
142.7641465635,876.34,142.41,849.48
142.49633360184,886.54,142.05,847.8
142.53600959616,891.51,142.28,856.75
143.59734244423,906.83,141.73,852.57
142.85341755072,909.28,141.85,848.91
142.49633360184,898.28,141.17,845.095
142.17892564727,894.88,140.78,842.1
142.01030267141,907.04,141.04,841.7
140.48277689007,902.36,139.92,839.88
140.65139986594,896.23,139.58,841.46
139.90747497243,884.67,139.39,840.18
140.68115686168,901.99,141.42,855.13
140.05625995113,903.78,140.96,853.99
139.54047202496,899.2,142.27,856.51
141.28621577506,902.06,143.8,860.08
141.1175927992,898.53,143.68,858.95
142.47649560468,907.41,145.47,878.93
143.36920547689,907.62,146.49,888.84
142.48720812314,909.29,146.56,889.14
142.62528058338,918.76,147.7,891.44
142.48641460326,924.99,150.25,924.52
145.41251918439,948.43,152.46,932.82
146.31514805518,946.68,152.78,937.09
145.86879311907,941.03,151.8,948.45
145.34308619433,937.53,150.85,954.72
147.75340284929,934.15,150.24,950.28
151.76067827566,949.04,151.06,958.69
152.71290213935,952.82,150.48,956.71
152.01857223874,948.95,150.29,954.84
153.32788005131,947.62,150.04,955.89
155.46919178961,961.35,150.33,955.14
155.07080821039,957.97,150.19,959.22
154.84173765234,966.07,149.78,964.61
149.64283194355,944.52,144.85,942.17
151.92357793457,958.49,147.66,950.5
152.34188069275,959.84,148.06,954.65
153.36771840924,970.7,148.24,964.07
153.17848620911,971.54,148.07,970.55
152.72034509301,980.35,150.04,977.61
153.24820333547,993.38,151.96,991.86
152.98925400898,995.78,152.13,993.27
153.04901154586,996.7,152.38,996.17
152.14268890314,994.62,151.46,987.09
152.56099166132,995.95,151.53,988.29
154.82181847338,1006.73,153.61,996.12
153.30796087235,1011.34,153.63,1003.88
153.82585952534,1002.97,152.81,996.68
154.74214175754,1010.07,153.12,1001.59
154.36367735728,1009.94,154.71,1004.28
148.37796407954,978.31,149.63,970.12
144.7327543297,964.83,148.44,961.81
145.99762219371,980.79,150.68,970.5
144.57340089801,976.47,150.25,967.93
143.70691661321,964.17,149.8,960.18
141.69507953817,987.71,150.64,958.62
145.7486324567,995.17,152.87,975.22
144.4240070558,992.59,152.25,968.99
145.28053175112,1002.23,153.91,978.59
145.04150160359,1001.3,153.4,976.62
145.75859204618,1003.74,155.07,986.09
145.23073380372,993.98,153.59,972.09
143.15913919179,976.78,150.58,948.09
145.2406933932,990.33,153.24,961.01
143.09938165491,975.93,151.04,937.82
143.43800769724,968.0,150.98,929.68
142.92010904426,953.66,148.43,919.46
143.5077248236,971.4,150.34,932.26
142.15322065427,965.14,148.82,927.69
143.59736112893,978.76,151.44,940.81
144.47380500321,996.47,153.5,951.0
144.94190570879,994.13,155.27,953.53
145.15105708788,1006.51,158.9,967.66
147.17285375241,999.855,159.26,968.7175
148.43772161642,1001.81,159.97,976.91
148.9556202694,1010.04,159.73,975.96
149.47351892239,1024.38,162.86,986.95
150.40972033355,1026.87,164.14,992.77
149.73246824888,1028.7,164.53,992.19
149.66275112251,1025.67,164.43,993.84
151.47539640795,1038.95,166.0,998.31
152.12276972418,1039.87,165.28,969.03
152.83986016677,1052.8,165.61,965.31
149.95157921745,1046.0,170.44,952.51
148.89586273252,1020.04,172.45,958.33
148.24848941629,987.78,169.25,945.5
149.44364015394,996.19,169.86,946.56
156.50498909557,995.89,169.25,947.64
154.94133354715,986.92,168.59,940.3
155.75801988454,987.58,169.62,945.79
125.92298645937578,832.6615269461078,171.98,945.75
159.43310840282,989.84,171.23,944.19
160.40914817191,982.01,171.18,940.08
155.27,956.92,167.4,923.59
157.48,967.99,168.08,930.09
159.85,983.3,170.75,938.93
161.6,982.74,171.0,938.08
160.95,978.18,170.0,944.27
157.87,960.57,166.91,927.66
157.5,958.47,167.41,926.18
157.21,953.29,167.78,920.87
159.78,966.9,169.64,940.4
159.98,958.0,168.71,942.58
159.27,952.45,167.74,936.89
159.86,945.26,166.32,930.5
161.47,946.02,167.24,928.13
162.91,954.06,168.05,935.75
163.35,967.59,169.92,943.63
164.0,980.6,172.0,955.24
164.05,978.25,172.02,951.99
162.08,965.27,170.72,941.48
161.91,967.8,172.09,942.02
161.26,979.47,173.21,949.89
158.63,965.9,170.95,941.41
161.5,977.96,173.51,943.29
160.82,982.58,172.96,946.65
159.65,999.6,173.05,950.44
158.28,992.21,170.96,940.13
159.88,986.79,171.58,935.29
158.67,974.19,170.01,929.75
158.73,969.86,172.52,936.86
156.07,973.21,172.17,947.54
153.39,964.65,171.11,947.55
151.89,955.1,170.54,943.26
150.55,939.79,162.87,934.28
153.14,938.6,164.21,937.43
154.23,950.87,167.68,959.9
153.28,956.4,168.73,964.81
154.12,961.35,170.81,973.72
153.81,959.19,169.47,967.47
154.48,957.1,169.96,972.08
153.4508,965.45,168.42,966.78
155.39,980.85,171.24,985.19
155.3,989.58,172.23,993.64
155.84,990.99,172.5,992.31
155.9,987.2,171.59,987.8
156.55,995.0,172.74,1005.65
156.0,1000.93,172.55,1005.65
156.99,1002.94,173.74,1007.87
159.88,1006.34,174.52,1009.35
160.47,1009.13,176.11,1011.0
159.76,997.0,176.03,1012.74
155.98,986.61,174.56,1001.84
156.16,982.91,174.98,1005.07
156.17,966.3,171.27,985.54
157.1,975.9,171.8,988.49
156.405,972.91,170.6,991.46
157.41,972.43,170.63,991.42
163.05,1100.95,177.88,1033.67
166.72,1110.85,179.87,1033.13
169.04,1105.28,180.06,1033.04
166.89,1103.68,182.66,1042.6
168.11,1094.22,178.92,1042.97
172.5,1111.6,178.92,1049.99
174.25,1120.66,180.17,1042.68
174.81,1123.17,180.25,1052.39
175.88,1129.13,179.3,1047.72
174.67,1125.35,178.46,1044.15
173.97,1129.17,178.77,1041.2
171.34,1136.84,178.07,1041.64
169.08,1126.69,177.95,1036.41
171.1,1137.29,179.59,1048.47
170.15,1129.88,179.0,1035.89
169.98,1126.31,178.74,1034.66
173.14,1139.49,181.86,1050.3
174.96,1156.16,180.87,1051.92
174.97,1186.0,182.78,1056.52
174.09,1195.83,183.03,1072.01
173.07,1193.6,182.42,1063.29
169.48,1161.27,175.13,1037.38
171.85,1176.75,177.18,1036.17
171.05,1162.35,175.1,1025.07
169.8,1133.95,171.47,1011.87
169.64,1141.57,172.83,1019.6
169.01,1152.35,176.06,1032.72
169.452,1159.79,180.14,1044.57
169.37,1162.0,179.0,1049.38
172.67,1168.92,179.04,1051.97
171.7,1165.08,176.96,1048.77
172.27,1164.13,178.3,1051.39
172.22,1174.26,178.39,1057.47
173.87,1179.14,180.18,1072.0
176.42,1190.58,180.82,1085.09
174.54,1187.38,179.51,1079.78
174.35,1177.62,177.89,1073.56
175.01,1174.76,177.45,1070.85
175.01,1168.36,177.2,1068.86
170.57,1176.76,175.99,1065.85
170.6,1182.26,177.62,1060.2
171.08,1186.1,177.92,1055.95
169.23,1169.47,176.46,1053.4
